name	electrode_name	type	units	sampling_frequency	stream_id	gain
chan33	e000	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan34	e001	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan35	e002	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan36	e003	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan37	e004	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan38	e005	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan39	e006	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan40	e007	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan41	e008	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan42	e009	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan43	e010	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan44	e011	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan45	e012	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan46	e013	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan47	e014	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan48	e015	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan49	e016	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan50	e017	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan51	e018	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan52	e019	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan53	e020	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan54	e021	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan55	e022	n/a	V	2000.0	ElectricalSeries	2.5e-07
chan56	e023	n/a	V	2000.0	ElectricalSeries	2.5e-07
