name	electrode_name	type	units	sampling_frequency
chan33	e000	n/a	V	-1.0
chan34	e001	n/a	V	-1.0
chan35	e002	n/a	V	-1.0
chan36	e003	n/a	V	-1.0
chan37	e004	n/a	V	-1.0
chan38	e005	n/a	V	-1.0
chan39	e006	n/a	V	-1.0
chan40	e007	n/a	V	-1.0
chan41	e008	n/a	V	-1.0
chan42	e009	n/a	V	-1.0
chan43	e010	n/a	V	-1.0
chan44	e011	n/a	V	-1.0
chan45	e012	n/a	V	-1.0
chan46	e013	n/a	V	-1.0
chan47	e014	n/a	V	-1.0
chan48	e015	n/a	V	-1.0
chan49	e016	n/a	V	-1.0
chan50	e017	n/a	V	-1.0
chan51	e018	n/a	V	-1.0
chan52	e019	n/a	V	-1.0
chan53	e020	n/a	V	-1.0
chan54	e021	n/a	V	-1.0
chan55	e022	n/a	V	-1.0
chan56	e023	n/a	V	-1.0
ainp1	e024	n/a	V	-1.0
ainp2	e025	n/a	V	-1.0
ainp3	e026	n/a	V	-1.0
